Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_precaution_0,Symptom_precaution_1,Symptom_precaution_2,Symptom_precaution_3,Symptom_Description
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,headache,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
AIDS, patches_in_throat, high_fever, extra_marital_contacts,high_fever,headache,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
AIDS, muscle_wasting, high_fever, extra_marital_contacts,high_fever,headache,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,high_fever,headache,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
AIDS, muscle_wasting, patches_in_throat, high_fever,high_fever,headache,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
Acne, skin_rash, pus_filled_pimples, blackheads, scurrying,headache,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
Acne, pus_filled_pimples, blackheads, scurrying,high_fever,headache,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
Acne, skin_rash, blackheads, scurrying,high_fever,headache,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
Acne, skin_rash, pus_filled_pimples, scurrying,high_fever,headache,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
Acne, skin_rash, pus_filled_pimples, blackheads,high_fever,headache,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
